epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7424,3.79064,21.3802,0.89259,0,0,0,0,3.25358,10.6128,0.72053,0.00052,0.00052,0.00052
2,33.0845,3.71468,11.4288,0.83069,0,0,0,0,3.60501,10.7669,0.73785,0.00104951,0.00104951,0.00104951
3,41.149,3.66119,9.3057,0.81938,0.0001,0.0297,5e-05,2e-05,3.51159,284.172,0.74454,0.00156832,0.00156832,0.00156832
4,49.0398,3.70234,7.61241,0.82069,0.00427,0.31683,0.07291,0.01839,2.6419,2.78942,0.80505,0.0019406,0.0019406,0.0019406
5,56.9414,3.6557,5.94254,0.78391,0.15526,0.08911,0.03233,0.00694,3.45469,3.52685,0.76278,0.0019208,0.0019208,0.0019208
6,64.8764,3.32747,4.78734,0.78752,0.00184,0.32673,0.00645,0.00133,3.54724,8.1929,0.72658,0.001901,0.001901,0.001901
7,72.9109,3.59613,4.38615,0.78611,0,0,0,0,nan,nan,nan,0.0018812,0.0018812,0.0018812
8,80.9651,3.35634,3.63863,0.78596,0.66177,0.41584,0.40466,0.09922,3.19478,1.99813,0.71686,0.0018614,0.0018614,0.0018614
9,88.9692,3.37991,3.20396,0.7839,0.4863,0.35644,0.2517,0.06842,3.22427,1.75752,0.72692,0.0018416,0.0018416,0.0018416
10,96.9542,3.3715,2.91692,0.76873,0.76233,0.42574,0.47024,0.12581,3.04652,1.57096,0.716,0.0018218,0.0018218,0.0018218
11,105.033,3.21635,2.50192,0.76078,0.68841,0.48127,0.53524,0.17224,2.74367,1.3668,0.69588,0.001802,0.001802,0.001802
12,112.982,3.09466,2.10795,0.74523,0.62667,0.53465,0.52513,0.16059,2.92547,1.41801,0.70266,0.0017822,0.0017822,0.0017822
13,120.91,3.27686,2.11151,0.74719,0.59653,0.54165,0.45944,0.14824,2.83502,1.33532,0.70029,0.0017624,0.0017624,0.0017624
14,128.922,2.97892,1.80681,0.76398,0.72898,0.45545,0.46744,0.11673,2.98926,1.34771,0.69985,0.0017426,0.0017426,0.0017426
15,137.019,3.09389,1.84678,0.7635,0.63017,0.50495,0.46621,0.14276,3.01171,1.14704,0.72829,0.0017228,0.0017228,0.0017228
16,145.093,3.18563,1.75034,0.74931,0.46769,0.37624,0.29191,0.06617,3.52661,1.3825,0.73863,0.001703,0.001703,0.001703
17,153.035,3.09098,1.73734,0.76582,0.70873,0.43564,0.43637,0.14313,2.86549,1.34234,0.68788,0.0016832,0.0016832,0.0016832
18,161.011,3.03948,1.7006,0.75529,0.7752,0.52475,0.55166,0.17887,2.80365,1.10421,0.69319,0.0016634,0.0016634,0.0016634
